RastStorageModel:new_book;title:new_added_books;searchCols:;updateCols:;boolCols:
Autor;Name;Edition;Publication;year of edition;form;Count;ID;Вид
qwqwqw;q;qwqw;q;q;qqw;1;2;
qwqwqw;q;qwqw;q;q;qqw;1;3;
qwqwqw;q;qwqw;q;q;qqw;1;4;
qwqwqw;q;qwqw;q;q;qqw;1;5;
qwqwqw;q;qwqw;q;q;qqw;1;6;
qwqwqw;q;qwqw;q;q;qqw;1;7;
qwqwqw;q;qwqw;q;q;qqw;1;8;
qwqwqw;q;qwqw;q;q;qqw;1;9;
qwqwqw;q;qwqw;q;q;qqw;1;10;
qwqwqw;q;qwqw;q;q;qqw;1;11;
qwqwqw;q;qwqw;q;q;qqw;1;12;
qwqwqw;q;qwqw;q;q;qqw;1;13;
qwqwqw;q;qwqw;q;q;qqw;1;14;
qwqwqw;q;qwqw;q;q;qqw;1;15;
qwqwqw;q;qwqw;q;q;qqw;1;16;
qwqwqw;q;qwqw;q;q;qqw;1;17;
qwqwqw;q;qwqw;q;q;qqw;1;18;
qwqwqw;q;qwqw;q;q;qqw;1;19;
qwqwqw;q;qwqw;q;q;qqw;1;20;
qwqwqw;q;qwqw;q;q;qqw;1;21;
qwqwqw;q;qwqw;q;q;qqw;1;22;
qwqwqw;q;qwqw;q;q;qqw;1;23;
qwqwqw;q;qwqw;q;q;qqw;1;24;
qwqwqw;q;qwqw;q;q;qqw;1;25;
qwqwqw;q;qwqw;q;q;qqw;1;26;
qwqwqw;q;qwqw;q;q;qqw;1;27;
qwqwqw;q;qwqw;q;q;qqw;1;28;
qwqwqw;q;qwqw;q;q;qqw;1;29;
qwqwqw;q;qwqw;q;q;qqw;1;30;
qwqwqw;q;qwqw;q;q;qqw;1;31;
qwqwqw;q;qwqw;q;q;qqw;1;32;
qwqwqw;q;qwqw;q;q;qqw;1;33;
qwqwqw;q;qwqw;q;q;qqw;1;34;
qwqwqw;q;qwqw;q;q;qqw;1;35;
qwqwqw;q;qwqw;q;q;qqw;1;36;
qwqwqw;q;qwqw;q;q;qqw;1;37;
qwqwqw;q;qwqw;q;q;qqw;1;38;
qwqwqw;q;qwqw;q;q;qqw;1;39;
qwqwqw;q;qwqw;q;q;qqw;1;40;
qwqwqw;q;qwqw;q;q;qqw;1;41;
qwqwqw;q;qwqw;q;q;qqw;1;42;
qwqwqw;q;qwqw;q;q;qqw;1;43;
qwqwqw;q;qwqw;q;q;qqw;1;44;
qwqwqw;q;qwqw;q;q;qqw;1;45;
qwqwqw;q;qwqw;q;q;qqw;1;46;
qwqwqw;q;qwqw;q;q;qqw;1;47;
qwqwqw;q;qwqw;q;q;qqw;1;48;
qwqwqw;q;qwqw;q;q;qqw;1;49;
qwqwqw;q;qwqw;q;q;qqw;1;50;
qwqwqw;q;qwqw;q;q;qqw;1;51;
qwqwqw;q;qwqw;q;q;qqw;1;52;
qwqwqw;q;qwqw;q;q;qqw;1;53;
qwqwqw;q;qwqw;q;q;qqw;1;54;
qwqwqw;q;qwqw;q;q;qqw;1;55;
qwqwqw;q;qwqw;q;q;qqw;1;56;
qwqwqw;q;qwqw;q;q;qqw;1;57;
qwqwqw;q;qwqw;q;q;qqw;1;58;
qwqwqw;q;qwqw;q;q;qqw;1;59;
qwqwqw;q;qwqw;q;q;qqw;1;60;
qwqwqw;q;qwqw;q;q;qqw;1;61;
qwqwqw;q;qwqw;q;q;qqw;1;62;
qwqwqw;q;qwqw;q;q;qqw;1;63;
qwqwqw;q;qwqw;q;q;qqw;1;64;
qwqwqw;q;qwqw;q;q;qqw;1;65;
qwqwqw;q;qwqw;q;q;qqw;1;66;
qwqwqw;q;qwqw;q;q;qqw;1;67;
qwqwqw;q;qwqw;q;q;qqw;1;68;
qwqwqw;q;qwqw;q;q;qqw;1;69;
qwqwqw;q;qwqw;q;q;qqw;1;70;
qwqwqw;q;qwqw;q;q;qqw;1;71;
qwqwqw;q;qwqw;q;q;qqw;1;72;
qwqwqw;q;qwqw;q;q;qqw;1;73;
qwqwqw;q;qwqw;q;q;qqw;1;74;
qwqwqw;q;qwqw;q;q;qqw;1;75;
qwqwqw;q;qwqw;q;q;qqw;1;76;
qwqwqw;q;qwqw;q;q;qqw;1;77;
qwqwqw;q;qwqw;q;q;qqw;1;78;
qwqwqw;q;qwqw;q;q;qqw;1;79;
qwqwqw;q;qwqw;q;q;qqw;1;80;
qwqwqw;q;qwqw;q;q;qqw;1;81;
qwqwqw;q;qwqw;q;q;qqw;1;82;
qwqwqw;q;qwqw;q;q;qqw;1;83;
qwqwqw;q;qwqw;q;q;qqw;1;84;
qwqwqw;q;qwqw;q;q;qqw;1;85;
qwqwqw;q;qwqw;q;q;qqw;1;86;
qwqwqw;q;qwqw;q;q;qqw;1;87;
qwqwqw;q;qwqw;q;q;qqw;1;88;
qwqwqw;q;qwqw;q;q;qqw;1;89;
qwqwqw;q;qwqw;q;q;qqw;1;90;
qwqwqw;q;qwqw;q;q;qqw;1;91;
qwqwqw;q;qwqw;q;q;qqw;1;92;
qwqwqw;q;qwqw;q;q;qqw;1;93;
qwqwqw;q;qwqw;q;q;qqw;1;94;
qwqwqw;q;qwqw;q;q;qqw;1;95;
qwqwqw;q;qwqw;q;q;qqw;1;96;
qwqwqw;q;qwqw;q;q;qqw;1;97;
qwqwqw;q;qwqw;q;q;qqw;1;98;
qwqwqw;q;qwqw;q;q;qqw;1;99;
qwqwqw;q;qwqw;q;q;qqw;1;100;
qwqwqw;q;qwqw;q;q;qqw;1;101;
;;;;;;;;
